,Feature name,Coefficients,p_values
66,dti:<=1.4,0.2462935877418847,0.003110662772194736
67,dti:1.4-3.5,0.36247569927409634,2.1256143976428955e-07
68,dti:3.5-7.7,0.3816682736413176,2.2524836945344718e-10
69,dti:7.7-10.5,0.3169969843192776,1.1510557478654343e-07
70,dti:10.5-16.1,0.23790514969544965,3.8359612193163706e-05
71,dti:16.1-20.3,0.1366957621794446,0.01817738109058953
72,dti:20.3-21.7,0.12453071578607966,0.0398312835290048
73,dti:21.7-22.4,0.08915530338907034,0.16797395468915155
74,dti:22.4-35,0.04745428134898347,0.4067694650376408
75,mths_since_last_delinq:Missing,0.14165205720093454,0.0054299660705992795
76,mths_since_last_delinq:4-30,0.1676819557863416,0.0011484277381321717
77,mths_since_last_delinq:31-56,0.21396396088191397,4.2207036652260793e-05
78,mths_since_last_delinq:>=57,0.1669108986341724,0.001826871815672006
79,mths_since_last_record:Missing,0.2138702862081074,0.003436996534843822
80,mths_since_last_record:3-20,0.32759963595436037,0.005235569237228722
81,mths_since_last_record:21-31,0.24854203600540617,0.01990910531265179
82,mths_since_last_record:32-80,0.3980123509965323,2.7953740499546973e-07
83,mths_since_last_record:81-86,0.038353265184931096,0.6562836324071379
84,mths_since_last_record:>=86,0.11859413527468607,0.11309760194462215
